Title,Time,Artist,Date Added,Plays,Last Played,Skips,Last Skipped
Make Me a Memory,6:32,"Grover Washington, Jr",6/5/2020,27,12/14/2020,3,12/7/2020
Bohemian Rhapsody ,6:07,Queen,1/26/2019,27,12/26/2020,8,1/10/2021
Chicken Fried,4:00,Zac Brown Band,1/26/2019,27,12/28/2020,5,3/22/2020
Hold Firm Cali Roots Riddim 2020,3:57,Collie Buddz,5/20/2020,26,12/28/2020,4,6/2/2020
I've Got A Rock 'N' Roll Heart,3:16,Eric Clapton,4/3/2019,26,1/9/2021,1,3/6/2020
Breezin',5:42,George Benson,6/4/2020,26,2/18/2021,8,12/16/2020
Just the Two of Us,7:24,"Grover Washington, Jr",6/5/2020,26,12/26/2020,2,12/14/2020
Change (Cali Roots Riddim 2020),3:56,Pepper,5/20/2020,26,12/10/2020,1,11/10/2020
Miss You,3:33,The Rolling Stones,1/26/2019,26,5/25/2020,6,12/26/2020
Bowl For Two,4:44,The Expendables,12/2/2019,25,12/26/2020,6,12/2/2020
East River Drive,4:44,"Grover Washington, Jr",6/5/2020,25,12/22/2020,9,12/26/2020
Night & Day,4:09,Tribal Seeds,5/20/2020,25,12/21/2020,9,12/16/2020
"I'm Bad, I'm Nationwide",4:53,ZZ Top,9/11/2019,25,2/18/2021,12,12/14/2020
I Can't Tell You Why,4:56,Eagles,1/26/2019,24,1/8/2021,10,12/16/2020
Come Morning,4:52,"Grover Washington, Jr",6/9/2020,24,12/21/2020,7,12/11/2020
No Means Yes,6:19,Herbie Hancock,6/21/2020,24,1/3/2021,4,10/7/2020
I Can't Quit You Baby,4:43,Led Zeppelin,4/1/2019,24,1/3/2021,10,12/7/2020
Mystic Voyage,3:43,Roy Ayers,6/21/2020,24,12/19/2020,3,12/12/2020
Good Life,3:01,Collie Buddz,5/20/2020,23,11/15/2020,7,12/16/2020
Holy Diver,4:40,Dio,3/14/2019,23,1/8/2021,9,2/18/2021
Sun Touch,5:08,Herbie Hancock,6/21/2020,23,11/11/2020,4,11/11/2020
The Ocean,4:20,Led Zeppelin,4/1/2019,23,1/7/2021,3,8/23/2019
Hey You,4:41,Pink Floyd,1/10/2020,23,12/9/2020,10,2/10/2021
Mia,3:31,Bad Bunny feat. Drake,8/30/2019,22,2/8/2020,10,12/26/2020
